category,field,description,application,futureImpact,color
"Fundamental Sciences","Sedimentology","Studies sediment formation, transport, and deposition","Reconstructs ancient environments from rock records, predicts reservoir quality for oil/water storage","Enables accurate climate reconstructions and optimizes subsurface storage for carbon capture and water resources","#8B7355"
"Fundamental Sciences","Stratigraphy","Analyzes rock layers and geological time sequences","Correlates rock units globally, establishes geological timescales, maps subsurface for resources","Provides temporal framework for understanding Earth's history and predicting future geological changes","#8B7355"
"Fundamental Sciences","Mineralogy","Identifies mineral composition and crystallographic properties","Discovers new materials for electronics, batteries, and industrial applications from natural minerals","Accelerates development of critical technology minerals and sustainable material alternatives","#8B7355"
"Fundamental Sciences","Petrology","Studies rock formation, classification, and evolution","Determines conditions of rock formation, guides exploration for ore deposits and geothermal resources","Reveals Earth's internal processes to predict volcanic activity and locate energy resources","#8B7355"
"Fundamental Sciences","Geochemistry","Analyzes chemical composition and reactions in Earth materials","Traces pollutant sources, dates rocks, models planetary formation and differentiation","Monitors environmental contamination and validates climate models through geochemical proxies","#8B7355"
"Fundamental Sciences","Tectonics","Studies plate movements, fault systems, and mountain building","Maps earthquake zones, predicts volcanic arcs, explains resource distribution along plate boundaries","Forecasts long-term seismic hazards and identifies geothermal energy hotspots from plate motion","#8B7355"
"Fundamental Sciences","Geochronology","Determines absolute ages of rocks and geological events","Dates volcanic eruptions, meteorite impacts, and evolutionary milestones with radiometric methods","Establishes timelines for climate change, extinction events, and landscape evolution","#8B7355"
"Fundamental Sciences","Paleontology","Studies ancient life through fossil records","Reconstructs past ecosystems, tracks evolutionary patterns, indicates past climates","Shows how life adapted to past climate changes, informing modern conservation strategies","#8B7355"
"Earth Dynamics & Hazards","Volcanology","Monitors volcanic systems and eruption mechanisms","Predicts eruptions using gas emissions and seismic data, evacuates populations days before disasters","Prevents thousands of deaths through early warning systems in volcanic regions worldwide","#FF6B35"
"Earth Dynamics & Hazards","Seismology","Studies earthquakes and seismic wave propagation","Installs earthquake early warning networks providing 30-90 seconds warning before shaking","Automatically stops trains, closes gas lines, saving thousands of lives during major earthquakes","#FF6B35"
"Earth Dynamics & Hazards","Glaciology","Tracks ice sheet dynamics and glacier behavior","Models sea level rise scenarios from ice sheet collapse, monitors freshwater reserves in glaciers","Informs coastal city adaptation strategies for 40% of humanity living near coasts","#FF6B35"
"Earth Dynamics & Hazards","Geomorphology","Maps landform evolution and surface processes","Identifies landslide-prone slopes and safe building zones in mountainous regions","Prevents infrastructure collapse and protects communities from mass wasting hazards","#FF6B35"
"Earth Dynamics & Hazards","Coastal Geology","Studies shoreline erosion and coastal dynamics","Designs natural barriers like dunes and wetlands to protect communities from storm surges","Protects coastal populations from rising seas without concrete walls, preserving ecosystems","#FF6B35"
"Earth Dynamics & Hazards","Planetary Geology","Analyzes geology of other planets and moons","Locates water ice deposits on Mars and the Moon for human settlement","Enables future space resource utilization and permanent human presence beyond Earth","#FF6B35"
"Earth Dynamics & Hazards","Geophysics","Uses physical methods to image Earth's subsurface","Scans subsurface without drilling to find hidden aquifers in drought regions","Provides drinking water access for remote communities without expensive exploratory drilling","#FF6B35"
"Earth Dynamics & Hazards","Structural Geology","Maps rock deformation, faults, and folds","Determines safe routes for tunnels, pipelines, and determines fault activity","Prevents catastrophic infrastructure failures by avoiding active fault zones","#FF6B35"
